userId,movieId,rating,comment
82,41,2.5,i don't like this
485,43,4.0,ok
39,26,5.0,hay vcl
161,130,5.0,=))))))))))))
245,416,4.0,ok
92,89,4.0,ok
140,18,3.0,Everyone can consider watching it
113,444,3.0,pretty good
308,409,4.0,ok
416,190,3.0,ok
396,181,5.0,hay vcl
158,12,4.0,pretty good
103,142,3.0,Everyone can consider watching it
428,14,3.0,ok
102,7,3.0,Everyone can consider watching it
209,100,3.0,pretty good
418,291,3.0,ok
486,318,3.0,Everyone can consider watching it
35,388,5.0,hay vcl
404,265,1.0,i don't like this
28,97,3.0,ok
211,527,3.0,Everyone can consider watching it
312,483,3.0,Everyone can consider watching it
233,292,4.0,Everyone can consider watching it
480,398,5.0,hay vcl
73,100,5.0,hay vcl
64,440,3.0,pretty good
81,380,4.0,ok
47,298,3.0,ok
130,464,4.0,Everyone can consider watching it
413,194,3.0,pretty good
81,253,4.0,pretty good
212,267,2.0,i don't like this
454,364,1.0,worst movies of all time
324,132,3.0,pretty good
249,140,4.0,ok
266,186,4.0,pretty good
92,254,3.0,Everyone can consider watching it
111,502,3.0,pretty good
80,526,3.0,Everyone can consider watching it
246,249,3.0,pretty good
331,23,3.0,pretty good
139,386,3.0,pretty good
320,401,3.0,ok
256,478,3.0,ok
305,521,3.0,ok
92,289,4.0,ok
271,555,3.0,Everyone can consider watching it
253,291,4.0,Everyone can consider watching it
324,57,2.0,no good =((
62,155,4.0,pretty good
403,419,3.0,ok
50,110,3.0,ok
152,457,4.0,pretty good
440,35,4.0,ok
154,139,4.0,ok
82,4,4.0,Everyone can consider watching it
225,336,4.0,Everyone can consider watching it
287,301,4.0,Everyone can consider watching it
105,507,3.0,Everyone can consider watching it
482,249,3.0,pretty good
490,8,5.0,=))))))))))))
169,262,3.0,Everyone can consider watching it
9,507,5.0,the best
340,108,3.0,Everyone can consider watching it
268,113,3.0,ok
274,186,3.0,ok
118,237,5.0,The best movie I've ever watched =))
121,194,5.0,The best movie I've ever watched =))
258,346,3.0,Everyone can consider watching it
262,420,3.0,pretty good
365,189,4.0,pretty good
419,247,3.0,pretty good
209,390,4.0,Everyone can consider watching it
273,502,3.5,Everyone can consider watching it
441,427,3.0,pretty good
272,219,4.5,The best movie I've ever watched =))
173,41,5.0,The best movie I've ever watched =))
11,198,2.5,no good =((
90,169,5.0,=))))))))))))
426,302,2.5,ncc
341,368,3.0,pretty good
191,281,3.0,ok
151,62,3.0,pretty good
328,141,3.0,ok
354,94,2.0,worst movies of all time
48,266,4.0,ok
267,456,5.0,=))))))))))))
41,498,5.0,hay vcl
205,364,5.0,=))))))))))))
475,318,4.0,Everyone can consider watching it
54,2,3.0,pretty good
101,149,3.0,pretty good
179,31,4.0,pretty good
313,44,5.0,the best
471,134,5.0,The best movie I've ever watched =))
282,35,5.0,The best movie I've ever watched =))
94,521,5.0,hay vcl
255,272,5.0,=))))))))))))
389,295,4.0,Everyone can consider watching it
410,161,3.0,pretty good
329,346,3.0,ok
8,82,3.0,ok
273,367,4.0,pretty good
70,104,1.0,i don't like this
417,459,4.0,pretty good
62,196,4.0,ok
36,299,4.0,Everyone can consider watching it
138,218,5.0,the best
153,200,5.0,the best
355,307,5.0,hay vcl
411,499,3.0,Everyone can consider watching it
90,268,5.0,the best
340,75,5.0,=))))))))))))
195,159,4.0,Everyone can consider watching it
156,77,5.0,The best movie I've ever watched =))
492,106,4.0,Everyone can consider watching it
378,483,4.0,ok
212,151,4.0,ok
482,416,4.0,ok
472,352,4.0,Everyone can consider watching it
201,304,3.5,pretty good
2,163,4.5,hay vcl
70,559,4.0,ok
234,269,4.0,pretty good
165,508,4.0,pretty good
406,563,4.0,pretty good
69,556,4.0,pretty good
